,question,answer
0,【倉庫公告】瑪莉亞颱風來襲停止服務,【倉庫公告】親愛的夥伴您好，因應瑪莉亞颱風來襲，7/11新北市停班停課公告，今日倉庫及宅配均停止服務，相關進倉作業順延至7/12(四)不便之處，敬請見諒~再次感謝您的配合！
1,請問有配合分期付款的銀行有哪些?,您好，目前消費高手網頁有配合分期付款銀行共有16家，分別如下：中國信託、國泰世華、玉山銀行、台新銀行、花旗銀行永豐銀行、富邦銀行、匯豐銀行、華南銀行、遠東銀行上海銀行、第一銀行、新光銀行、兆豐銀行、聯邦銀行澳盛銀行感謝您的支持～pure17go客服中心 敬上
2,請問如何取消訂單?,您好，倘若訂單狀態為【待出貨】與【等待付款】情況下，要取消訂單流程如下：登入會員，點選右上方訂單查詢，確認要取消之購物編號，右手邊會有一個【我要取消】欄位可申請！感謝您的來信~pure17go 客服中心敬上
3,想要使用ATM(提款機) 轉帳付款超過「3萬元」的網路購物金額、信用卡消費帳單等，該如何使用呢?,您好，不論您是使用網路ATM轉帳或是實體ATM轉帳，請您插入卡片後，點選【繳稅/帳單/捐款】；【網購/繳費】或是【繳費】欄位後，輸入轉帳資料且依照頁面指示完成操作，即可完成繳費動作。感謝您的支持～Pure17go客服中心 敬上
4,為什麼無法選擇貨到付款服務?,您好，因網頁商品眾多，並非全部商品皆有配合貨到付款服務，請您依照商品結帳頁面中所顯示之付款方式來選擇！貼心小叮嚀：倘若您訂購多樣商品，且為不同廠商出貨，也無法使用貨到付款服務。感謝您的支持～pure17go客服中心 敬上
5,訂單狀態為出貨異常是什麼意思?,您好，司機配送若無法順利送達時，訂單狀態即會顯示【出貨異常】。即表示司機配送商品時，無法聯繫上收件人、或收件地址無人收件！商品出貨後七日內皆會協助持續配送，倘若配送超過七日，司機皆無法順利配達，商品將會協助退回倉庫，待倉庫收到商品點收無誤後，訂單將會以退貨方式處理。感謝您的來信～pure17go客服中心 敬上
6,如何確認訂單是否有成立?,您好，訂購完成後，若要確認訂單是否有成立，流程如下：1、【使用電腦上網】：==>請您先於網頁右上方登入會員後，點選右上方的訂單查詢確認，==>若有購物編號且訂單狀態為待出貨，即表示訂單有成功訂購。2、【使用手機上網】：==>請您先於網頁下方點選【電腦版】，進入之電腦版頁面後，請於網頁右上方登入網頁會員後，點選右上方的訂單查詢確認，==>若有購物編號且訂單狀態為待出貨，即表示訂單有成功訂購。感謝您的支持～pure17go客服中心 敬上
7,請問如何查詢ATM的繳費資訊?,您好，若使用手機上網，請您於網頁下方先點選電腦版後，登入網頁會員後，點選右上方的訂單查詢，再點選購物編號即可確認到ATM的轉帳資料。若使用電腦上網，請您直接登入網頁會員後，點選右上方的訂單查詢，再點選購物編號即可確認到ATM的轉帳資料。感謝您的支持～pure17go客服中心 敬上
8,請問可以使用國外信用卡?,您好，非常抱歉，目前pure17go儘接受國內信用卡付款，暫無提供國外信用卡付費方式，若無國內信用卡，請您選擇其他付款方式付款，例如：ATM轉帳服務。感謝您的支持pure17go客服中心 敬上
9,請問訂購商品大概多久會配送?,您好，1、一般商品訂單成立後，今日中午12點前訂購完成，明日配送(假日不列入計算)。2、廠商配送商品，訂單成立後約3-5個工作天出貨。3、預購商品則須依照商品頁面註明的出貨日，依照訂單順序出貨。請務必注意：實際出貨時間仍將依訂單量調節，可能提前或延後出貨！感謝您的支持～pure17go客服中心 敬上
10,刷卡分期是零利率?,您好，網頁訂單分期方式如下：訂單金額超過3000元以上可分三期，訂單金額超過6000元以上可分六期，刷卡分期皆為零利率無息分期。感謝您的支持～pure17go客服中心 敬上
11,請問購買商品需要付運費?,您好，目前網路訂購商品皆免運費不論訂單金額多少皆免運費喔請您安心選購商品感謝您的支持pure17go 客服中心敬上
12,訂單刷卡失敗，該如何處理?,您好，1、若您使用信用卡訂購，但刷卡系統回報付款失敗，系統會自動取消訂單若要訂購，請重新下單完成付款。2、若您使用信用卡訂購，但刷卡系統連線回應過久，系統會顯示等待付款，請您透過網頁取消此筆訂單，再重新訂購。取消訂單流程:登入會員，點選右上方訂單查詢，確認要取消之購物編號，右手邊會有一個【我要取消】欄位可申請。若有其他問題，歡迎再來信詢問pure17go 客服中心敬上
13,商品下訂完後，因故不想要了，要如何取消訂單?,"您好，若要取消訂單，請您於網頁登入會員後，點選右上方的訂單查詢會看到您訂購的購物編號，若訂單狀態為待出貨時，右手邊有""我要取消""申請欄位請您點選我要取消，依照指示操作即可但若訂單狀態為已出貨或出貨中，請您收到商品後再透過網路辦理退貨或是司機配送時直接拒收處理感謝您的支持pure17go 客服中心敬上"
14,我明明已經取消訂單，為何信用卡帳單，還有此筆款項?,您好，若您訂單狀態為取消訂單，款項並非取消當下立即退刷款項會於七個工作天內(不含假日)申請退刷完成，但因每張信用卡的結帳日不同，實際入帳日需依照您的信用卡結帳日為主感謝您的支持pure17go 客服中心敬上
