,question,answer
0,倉庫 公告  瑪莉亞 颱風 來襲 停止 服務,【 倉庫 公告 】 親愛 的 夥伴 您好 ， 因應 瑪莉亞 颱風 來襲 ， 7 / 11 新北市 停班 停課 公告 ， 今日 倉庫 及宅 配均 停止 服務 ， 相 關進 倉 作業 順延 至 7 / 12 ( 四 ) 不便 之 處 ， 敬請 見諒 ~ 再次 感謝您 的 配合 ！
1,請問 有 配合 分期付款 的 銀行 有 哪些  ,您好 ， 目前 消費 高手 網頁 有 配合 分期付款 銀行 共有 16 家 ， 分別 如下 ： 中國 信 託 、 國泰 世華 、 玉山 銀行 、 台新 銀行 、 花旗銀行 永豐 銀行 、 富邦 銀行 、 匯豐 銀行 、 華南銀行 、 遠東 銀行 上海銀行 、 第一 銀行 、 新光 銀行 、 兆豐 銀行 、 聯邦 銀行 澳盛 銀行 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
2,請問 如何 取消 訂單 ,您好 ， 倘若 訂單 狀態 為 【 待 出貨 】 與 【 等待 付款 】 情況 下 ， 要 取消 訂單 流程 如下 ： 登入 會員 ， 點選 右上方 訂單 查詢 ， 確認 要 取消 之 購物 編號 ， 右手邊 會 有 一個 【 我要 取消 】 欄位 可 申請 ！ 感謝您 的 來信 ~ pure17go   客服 中心 敬 上
3,想要 使用 ATM  提款機    轉帳 付款 超過  3 萬元  的 網路 購物 金額  信用卡 消費 帳單 等  該 如何 使用 呢  ,您好 ， 不論 您 是 使用 網路 ATM 轉帳 或是 實體 ATM 轉帳 ， 請 您 插入 卡片 後 ， 點選 【 繳稅 / 帳單 / 捐款 】 ； 【 網購 / 繳費 】 或是 【 繳費 】 欄位 後 ， 輸入 轉帳 資料 且 依照 頁面 指示 完成 操作 ， 即可 完成 繳費 動作 。 感謝您 的 支持 ～ Pure17go 客服 中心   敬 上
4,為什麼 無法 選擇 貨到付款 服,您好 ， 因 網頁 商品 眾多 ， 並非 全部 商品 皆 有 配合 貨到付款 服務 ， 請 您 依照 商品 結帳 頁 面中 所 顯示 之 付款 方式 來 選擇 ！ 貼心 小 叮嚀 ： 倘若 您 訂購 多樣 商品 ， 且為 不同 廠商 出貨 ， 也 無法 使用 貨到付款 服務 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
5,訂單 狀態 為 出貨 異常 是 什麼 意,您好 ， 司機 配送 若 無法 順利 送達 時 ， 訂單 狀態 即會 顯示 【 出貨 異常 】 。 即 表示 司機 配送 商品 時 ， 無法 聯 繫 上 收件人 、 或 收件 地址 無人 收件 ！ 商品 出貨 後 七日 內皆會 協助 持續 配送 ， 倘若 配送 超過 七日 ， 司機 皆 無法 順利 配達 ， 商品 將會 協助 退回 倉庫 ， 待 倉庫 收到 商品 點收 無誤 後 ， 訂單 將會 以 退貨 方式 處理 。 感謝您 的 來信 ～ pure17go 客服 中心   敬 上
6,如何 確認 訂單 是否 有 成立,您好 ， 訂購 完成 後 ， 若 要 確認 訂單 是否 有 成立 ， 流程 如下 ： 1 、 【 使用 電腦 上網 】 ： = = > 請 您 先於 網頁 右上方 登入 會員 後 ， 點選 右上方 的 訂單 查詢 確認 ， = = > 若有 購物 編號 且 訂單 狀態 為 待 出貨 ， 即 表示 訂單 有 成功 訂購 。 2 、 【 使用 手機 上網 】 ： = = > 請 您 先於 網頁 下方 點選 【 電腦 版 】 ， 進入 之 電腦 版頁 面 後 ， 請於 網頁 右上方 登入 網頁 會員 後 ， 點選 右上方 的 訂單 查詢 確認 ， = = > 若有 購物 編號 且 訂單 狀態 為 待 出貨 ， 即 表示 訂單 有 成功 訂購 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
7,請問 如何 查詢 ATM 的 繳費 資訊,您好 ， 若 使用 手機 上網 ， 請 您 於 網頁 下方 先 點選 電腦 版 後 ， 登入 網頁 會員 後 ， 點選 右上方 的 訂單 查詢 ， 再 點選 購物 編號 即可 確認 到 ATM 的 轉帳 資料 。 若 使用 電腦 上網 ， 請 您 直接 登入 網頁 會員 後 ， 點選 右上方 的 訂單 查詢 ， 再 點選 購物 編號 即可 確認 到 ATM 的 轉帳 資料 。 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
8,請問 可以 使用 國外 信用卡 ,您好 ， 非常 抱歉 ， 目前 pure17go 儘 接受 國內 信用卡 付款 ， 暫無 提供 國外 信用卡 付費 方式 ， 若無 國內 信用卡 ， 請 您 選擇 其他 付款 方式 付款 ， 例如 ： ATM 轉帳 服務 。 感謝您 的 支持 pure17go 客服 中心   敬 上
9,請問 訂購 商品 大概 多久 會 配送 ,您好 ， 1 、 一般 商品 訂單 成立 後 ， 今日 中午 12 點前 訂購 完成 ， 明日 配送 ( 假日 不 列入 計算 ) 。 2 、 廠商 配送 商品 ， 訂單 成立 後 約 3 - 5 個 工作 天 出貨 。 3 、 預購 商品 則須 依照 商品 頁 面 註 明 的 出貨 日 ， 依照 訂單 順序 出貨 。 請 務必 注意 ： 實際 出貨 時間 仍將 依 訂單 量 調節 ， 可能 提前 或 延後 出貨 ！ 感謝您 的 支持 ～ pure17go 客服 中心   敬 上
